Name,Email ,Adress,Phonenumber,Amount of people,Stories
Elisa,artififcialapple@gmail.com,pietheinstraat 33 2266KN leidschendam nederland,311234567,3,7
Elisa,ssss@gmail.com
NAme,email@gmail.com
s,s@gmail.com
f,FF@gmail.com
name,email,phonenumber,address,people,stories
e,e@gmail.com,090768654,"street, 45, town, land",3,4
name,email,phonenumber,address,people,stories
e,e@gmail.com,24235,"street, 34, town, land",1,2
name,email,phonenumber,address,people,stories
e,e@gmail.com,09504356,"street, 34, town, land",2,1
name,email,phonenumber,address,people,stories
e,e@gmail.com,12345678,"street, 34, toen, lanf",2,1
name,email,phonenumber,address,people,stories
e,e@gmail.com,12345678,"str,3,t,d",2,1
name,email,phonenumber,address,people,stories
e,e@gmail.com,12345,"t,3,4,s",2,4
name,email,phonenumber,address,people,stories
e,e@gmail.com,34,"v,d,f,2",2,1
name,email,phonenumber,address,people,stories
e,e@gmail.com,1234567,"h,h,h,h",2,1
name,email,phonenumber,address,people,stories
e,e@gmail.com,24324,"2,2,2,2",2,1
name,email,phonenumber,address,people,stories
e,e@gmail.com,342,"1,1,1,1",2,1
name,email,phonenumber,address,people,stories
e,email@gmail.com,214,"s,s,s,s",2,2
name,email,phonenumber,address,people,stories
e,e@gmail.com,24,"2,2,2,2",2,3
name,email,phonenumber,address,people,stories
e,e@gmail.com,34567,"g,g,g,g",2,2
name,email,phonenumber,address,people,stories
e,e@gmail.com,123456789,"s,s,s,s",2,2
name,email,phonenumber,address,people,stories
elisa,elisa@gmail.com,12345,"r,t,y,t",1,1
name,email,phonenumber,address,people,stories
elisa,e@gmail.com,4245424,"g,g,h,f",1,2
name,email,phonenumber,address,people,stories
elisa,e@gmail.com,4245424,"g,g,h,f",1,2
name,email,phonenumber,address,people,stories
elisa,e@gmail.com,4245424,"g,g,h,f",1,2
name,email,phonenumber,address,people,stories
Elisa,e@gmail.com,06457821,"street,22,town,land",4,2
name,email,phonenumber,address,people,stories
elisa,a@gmail.com,06782363,"street, 44, town, land",2,1
name,email,phonenumber,address,people,stories
elisa,a@gmail.com,06782363,"street, 44, town, land",2,2
name,email,phonenumber,address,people,stories
elisa,a@gmail.com,06782363,"street, 44, town, land",2,1
name,email,phonenumber,address,people,stories
elisa,a@gmail.com,06782363,"street, 44, town, land",2,1
name,email,phonenumber,address,people,stories
Eilsa,e@gmail.com,061234567,"s,s,s,s",1,1
